route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
1453,BRENG,27,Arnhem CS - Doetinchem,,3,,,
52986,IFF:NS,Intercity,Enkhuizen <-> Maastricht IC2900,,2,,,
67300,BRAVO:CXX,403,Oerle Zuid - Eindhoven Station,,3,,,
67304,BRAVO:CXX,407,High Tech Campus - Eindhoven Station,,3,,,
76396,BRAVO:CXX,408,High Tech Campus - Eindhoven Station,,3,,,
78094,BRAVO:CXX,276,Valkenswaard - Achel,,3,,,
77630,BRAVO:CXX,266,Deurne - Someren - Geldrop,,3,,,
77434,BRAVO:CXX,260,Geldrop - Son en Breugel - Best,,3,,,
77675,BRAVO:CXX,259,Nuenen - Beek en Donk,,3,,,
77508,BRAVO:CXX,271,Aalst - Waalre - Veldhoven,,3,,,
77765,BRAVO:CXX,291,Middelbeers - Hoogeloon - Hapert - Bladel,,3,,,
77761,BRAVO:CXX,268,Deurne - Bakel - Elsendorp,,3,,,
67257,BRAVO:CXX,25,Helmond Station - Donk - Gemert,,3,,,
67260,BRAVO:CXX,23,Helmond Station - Boxmeer Station,,3,,,
67287,BRAVO:CXX,7,Veldhoven MMC - Eindhoven Station,,3,,,
67288,BRAVO:CXX,3,Eindhoven Blixembosch West - Station,,3,,,
67289,BRAVO:CXX,9,Best Station - Eindhoven Station,,3,,,
67296,BRAVO:CXX,318,Luyksgestel - Valkenswaard - Eindhoven Station,,3,,,
67297,BRAVO:CXX,317,Dommelen - Valkenswaard - Eindhoven Station,,3,,,
62190,BRENG,80,Millingen - Ooij - Nijmegen CS,,3,,,
67255,BRAVO:CXX,322,Uden - Gerwen - Eindhoven Station,,3,,,
67275,BRENG,51,Wageningen Station - Arnhem CS,,3,,,
67272,BRAVO:CXX,18,Bergeijk - Veldhoven - Eindhoven Station,,3,,,
67273,BRAVO:CXX,19,Bladel - Eersel - Eindhoven Station,,3,,,
30495,BRENG,9,Schaarsbergen - Arnhem CS,,3,,,
1278,BRENG,14,Arnhem CS - Elst - Nijmegen Brakkenstein,,3,,,
1133,BRENG,300,Arnhem CS - Nijmegen Heyendaal,,3,,,
7175,BRENG,15,Lent - CS - Wijchen Zuid,,3,,,
1618,BRENG,85,Nijmegen CS - Druten Busstation,,3,,,
1683,BRENG,33,Arnhem CS - Bemmel -  Nijmegen CS,,3,,,
1069,BRENG,7,Arnhem Geitenkamp - Rijkerswoerd,,3,,,
1387,BRENG,8,Nijmegen Hatert - CS - Berg en Dal,,3,,,
1452,BRENG,26,Arnhem CS - Dieren Station,,3,,,
1615,BRENG,83,Nijmegen CS - Gennep - Venlo Station,,3,,,
1537,BRAVO:CXX,2,Eindhoven Blixembosch Oost - Station,,3,,,
42267,BRAVO:CXX,320,Helmond Station - Asten - Eindhoven Station,,3,,,
42269,BRAVO:CXX,324,Geldrop Coevering - Eindhoven Station,,3,,,
42271,BRAVO:CXX,28,Meijel - Deurne,,3,,,
52990,IFF:NS,Intercity,Alkmaar <-> Maastricht IC800,,2,,,
84507,BRAVO:CXX,321,Gemert - Eindhoven Station,,3,,,
90569,BRAVO:ARR,156,'s-Hertogenbosch - Eindhoven,,3,,,
88745,BRAVO:ARR,156,'s-Hertogenbosch - Eindhoven,,3,,,
86476,IFF:ARRIVA,Nachttrein,Maastricht <-> Schiphol Airport NT32700,,2,,,
86488,IFF:ARRIVA,Stoptrein RS18,Kerkrade Centrum <-> Maastricht Randwyck ST32000,,2,,,
86449,QBUZZ,45,Middelstum - Loppersum - Spijk - Eemshaven,,3,,,
86491,IFF:ARRIVA,Stoptrein RS12,Roermond <-> Maastricht Randwyck ST32400,,2,,,
87954,BRENG,82,Millingen - Nijmegen CS,,3,,,
87978,BRENG,35,Bemmel - Elst - Zetten,,3,,,
87985,BRENG,29,Arnhem CS - Doetinchem,,3,,,
87979,BRENG,76,Millingen - Groesbeek,,3,,,
90785,ARR,1,Malberg via MUMC - De Heeg,,3,ff00ff,000000,
90786,ARR,2,Oud Caberg via Heer - De Heeg,,3,800080,ffffff,
90787,ARR,3,Wolder via Koningsplein - Nazareth/P+R Noord,,3,339966,000000,
90788,ARR,4,Pottenberg/Caberg via Scharn - Valkenburg,,3,ffcc00,000000,
90789,ARR,5,Daalhof via MUMC - Heugem,,3,0000ff,ffffff,
90790,ARR,6,Daalhof via De Geusselt - Amby,,3,00ffff,000000,
90791,ARR,7,MUMC/MECC via Sibemaweg - Caberg/Pottenberg,,3,ffff00,000000,
90792,ARR,8,Maastricht Boschpoort via Bemelen - Valkenburg,,3,7570b3,000000,
90793,ARR,9,Maastricht Kon Emmaplein via Borgharen - Bunde,,3,99cc00,000000,
90794,ARR,10,P+R Noord via Centrum - Heer,,3,ff0000,000000,
90795,ARR,11,Maastricht Station via Centrum - Station.,,3,c6a572,000000,
90796,ARR,12,Maastricht Boschpoort - Villapark,,3,007446,ffffff,
90797,ARR,13,Maastricht Station - Kanne (B),,3,524fa2,ffffff,
90798,ARR,15,Daalhof via Station en MUMC - Eijsden,,3,00a886,000000,
90804,ARR,30,Maastricht via MA Airport - Sittard,,3,00becd,000000,
90820,ARR,56,Valkenburg via Hoensbroek - Brunssum,,3,00becd,000000,
90821,ARR,57,Maastricht via Epen - Gulpen,,3,00becd,000000,
90822,ARR,59,Mamelis via Vijlen - Vaals,,3,00becd,000000,
90829,ARR,7,Ubach over Worms via Heerlen - Zuyderland MC,,3,ffff00,000000,
90830,ARR,8,Ubach over Worms - Heerlen,,3,7570b3,000000,
90837,ARR,350,Maastricht via Gulpen - Aachen,,3,0000ff,ffffff,
90844,ARR,606,Kerkrade via Eygelshoven - Zuyd Hogeschool,,3,00becd,000000,
90845,ARR,615,Maastricht - MUMC,,3,00becd,000000,
90855,ARR,650,Bocholtz via Gulpen - Maastricht Centrum,,3,00becd,000000,
90860,ARR,659,Maastricht via Gulpen - Vaals,,3,00becd,000000,
90292,IFF:ARRIVA,Sneltrein RE18,Maastricht <-> Aachen Hbf S18900,,2,,,
90293,IFF:ARRIVA,Stoptrein RE18,Aachen Hbf <-> Maastricht ST18900,,2,,,
90296,IFF:NMBS,Stoptrein,Liege-Guillemins <-> Maastricht ST16900,,2,,,
90298,IFF:NS,Intercity,Eindhoven Centraal <-> Maastricht IC12900,,2,,,
91788,IFF:ARRIVA,Snelbus i.p.v. trein,Snelbus i.p.v. trein Heerlen <-> Maastricht,,3,,,
91831,DELIJN,45,Hasselt - Universiteit - Genk - Maaseik/Maastricht,,3,dd0077,ffffff,
91834,DELIJN,20a,Hasselt - Bilzen - Maastricht,,3,8899aa,000000,
91833,DELIJN,63,Eisden - Maasmechelen - Lanaken - Maastricht,,3,ff88aa,000000,
91832,DELIJN,62,Tongeren - Vroenhoven - Maastricht,,3,bb0022,ffffff,
91842,BRAVO:CXX,323,Boxmeer - Gemert - Eindhoven Station,,3,,,
90396,BRENG,331,Velp Zuid - Arnhem - Nijmegen Weezenhof / Aldenhof,,3,,,
84511,BRENG,5,Beuningen - Groesbeek de Horst,,3,,,
90386,BRENG,21,Arnhem CS - Velp Beekhuizenseweg,,3,,,
90376,BRENG,2,Arnhem CS - De Laar,,3,,,
87975,BRENG,589,Doorwerth De Weerd - Wolfheze Het Schild,,3,,,
91845,IFF:ARRIVA,Stopbus i.p.v. trein,Stopbus i.p.v. trein Maastricht <-> Maastricht Randwyck,,3,,,
91846,IFF:ARRIVA,Stopbus i.p.v. trein,Stopbus i.p.v. trein Maastricht <-> Sittard,,3,,,
91853,IFF:NS,Snelbus i.p.v. trein,Snelbus i.p.v. trein Maastricht <-> Sittard,,3,,,
92074,DELIJN,20a,Hasselt - Bilzen - Maastricht,,3,8899aa,000000,
92075,DELIJN,206,Beverst - Eigenbilzen - Hees - Maastricht,,3,ffffff,c5aa77,
92076,DELIJN,206,Beverst - Eigenbilzen - Hees - Maastricht,,3,ffffff,c5aa77,
92077,DELIJN,45,Hasselt - Diepenbeek - Genk - Maastricht,,3,005555,ffffff,
92078,DELIJN,62,Maastricht - Riemst - Tongeren,,3,bb0022,ffffff,
92079,DELIJN,63,Maaseik - Maasmechelen - Lanaken - Maastricht,,3,ffcc11,000000,
