stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id,clean_stop_id
2511615,,Maastricht,50.8506842956035,5.704599237720314,0,stoparea:17969,,,,IFF:mt,2511615
2485741,44161,"Maastricht, Koningin Emmaplein",50.849292,5.678235,0,,,0.0,,,2485741
2511622,,Maastricht Noord,50.87056885654833,5.717504666171787,0,stoparea:30382,,,2,IFF:mtn,2511622
2511621,,Maastricht Noord,50.87062677481607,5.717754385815858,0,stoparea:30382,,,1,IFF:mtn,2511621
2511623,,Maastricht Noord,50.871751883925576,5.716623438202342,0,stoparea:30382,,,,IFF:mtn,2511623
2511613,,Maastricht,50.8510208091,5.70534825325,0,stoparea:17969,,,5b,IFF:mt,2511613
2398923,33666,"Riemst, Maastrichtersteenweg",50.818295,5.611435,0,,,,,,2398923
2511628,,Maastricht Randwyck,50.837259667589656,5.7175625539511055,0,stoparea:17938,,,,IFF:mtr,2511628
2511627,,Maastricht Randwyck,50.8378274893,5.71761131287,0,stoparea:17938,,,3,IFF:mtr,2511627
2511612,,Maastricht,50.8499573524,5.70583105087,0,stoparea:17969,,,5a,IFF:mt,2511612
2511616,,Maastricht,50.85055348689911,5.705571224915953,0,stoparea:17969,,,,IFF:mt,2511616
2511626,,Maastricht Randwyck,50.8377936121,5.71749866009,0,stoparea:17938,,,2,IFF:mtr,2511626
2398152,32489,"Maastricht, Bosscherweg Sluis",50.866997,5.686358,0,,,,,,2398152
2398673,32514,"Maastricht, Gewantmakersdreef Zuid",50.844497,5.661438,0,,,,,,2398673
2398456,32488,"Maastricht, Bosscherweg Grens",50.880591,5.678148,0,,,,,,2398456
2398949,32487,"Maastricht, Bosscherweg Grens",50.880195,5.678401,0,,,,,,2398949
2511608,,Maastricht,50.8509225927,5.70489764214,0,stoparea:17969,,,2,IFF:mt,2511608
2511629,,Maastricht Randwyck,50.83779595521484,5.717569641852803,0,stoparea:17938,,,,IFF:mtr,2511629
2398332,132788,"Maastricht, Caberg",50.861299,5.671849,0,,,,,,2398332
2398921,33667,"Riemst, Maastrichtersteenweg",50.818492,5.611649,0,,,,,,2398921
2511614,,Maastricht,50.8506821312,5.70560574532,0,stoparea:17969,,,6,IFF:mt,2511614
2511609,,Maastricht,50.8509733943,5.70510149002,0,stoparea:17969,,,3,IFF:mt,2511609
2470286,32560,"Maastricht, Tongerseweg Kerkhof",50.838492,5.661658,0,,,,,,2470286
2398079,88801,"Mopertingen, Maastrichterstraat",50.861494,5.587315,0,,,,,,2398079
2398480,32561,"Maastricht, Tongerseweg Kerkhof",50.838994,5.662342,0,,,,,,2398480
2398172,32501,"Maastricht, Caberg Grens",50.880999,5.673277,0,,,,,,2398172
2511611,,Maastricht,50.8509869414,5.70518732071,0,stoparea:17969,,,4b,IFF:mt,2511611
2398614,32483,"Maastricht, Bosscherweg 17",50.875994,5.679668,0,,,,,,2398614
